,num_samples,num_features,sequential,parallel,device,parallel/sequential,batch
9,10000,5,725.6384247326044,1.1041791627998463,cuda,0.15216657844528,128
10,1000,5,73.83946336247682,0.1118413814998348,cuda,0.15146559360921,128
11,100,5,8.769418238104118,0.0018060023998259,cuda,0.02059432394247,128
0,10000,100,1179.4047030267436,74.6612540465998,cpu,6.330418545474189,32
1,1000,100,120.29678179590556,7.373187752900412,cpu,6.12916459012984,32
2,100,100,14.283300613774918,0.8089929554058471,cpu,5.6639076448873995,32
3,10000,50,1134.9554833643838,62.66412715849874,cpu,5.52128502632909,32
4,1000,50,116.30274077175416,6.14350290739385,cpu,5.28233717161538,32
5,100,50,13.883987289038489,0.6579525997018209,cpu,4.7389311586397,32
6,10000,10,1097.5026367586777,53.351378171503896,cpu,4.8611617306970505,32
7,1000,10,111.83996784726916,5.337899038597243,cpu,4.772800941687301,32
8,100,10,13.360328341115382,0.5394876157020917,cpu,4.03798171667578,32
9,10000,5,1097.5992248738826,52.73680549710698,cpu,4.80474150327197,32
10,1000,5,112.05436682564614,5.248084901002585,cpu,4.6835166265037,32
11,100,5,13.436823389469646,0.5253633974003605,cpu,3.9098779687175496,32
0,10000,100,566.2478564141869,2.749653153799909,cuda,0.48559179918354,256
1,1000,100,57.12905775470026,0.2331596344996796,cuda,0.40812791889691996,256
2,100,100,8.502602294078496,0.0014270058996771,cuda,0.01678316649799,256
3,10000,50,567.847027620908,2.5690212114999667,cuda,0.45241430993542,256
4,1000,50,57.13358032386641,0.2176196318996517,cuda,0.38089619216239,256
5,100,50,8.519287864211583,0.0014272877993789,cuda,0.016753604551550002,256
6,10000,10,568.5828669919141,2.438617362899822,cuda,0.42889392285091,256
7,1000,10,56.94103687660645,0.2062564171999838,cuda,0.36222806698611,256
8,100,10,8.514811177377487,0.0014054631996259,cuda,0.01650609943483,256
9,10000,5,566.5920982977539,2.4256672006999,cuda,0.42811525398738,256
10,1000,5,57.02001596395276,0.2026971613013302,cuda,0.35548422404769,256
11,100,5,8.51052166632653,0.0014233516012609,cuda,0.01672461051233,256
0,10000,100,717.9159447581362,2.9449652554962085,cuda,0.41021031459167995,128
1,1000,100,72.84284184158022,0.295969519999926,cuda,0.40631242894613995,128
2,100,100,8.519208326254738,0.0014095349964918,cuda,0.01654537537423,128
3,10000,50,721.1231597496459,2.652083582399064,cuda,0.36777123942598,128
4,1000,50,72.86896258277702,0.2648157332965638,cuda,0.36341361796627003,128
5,100,50,8.498930445295992,0.001405625703046,cuda,0.01653885406044,128
6,10000,10,721.3233114343078,2.4286297250044298,cuda,0.33669086892190003,128
7,1000,10,72.9896581068344,0.2435266947053605,cuda,0.33364547940327,128
8,100,10,8.487368396279635,0.0013991726969834,cuda,0.01648535366506,128
9,10000,5,720.1919176366325,2.4074042980995727,cuda,0.33427260694616,128
10,1000,5,73.1661799928348,0.2411877553997328,cuda,0.32964377178547,128
11,100,5,8.522962787022697,0.0014165525033604,cuda,0.016620423422670002,128
