,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
155834,155834,12487034,2574,False,1,1,75,3.5e-05,0.745098,0.526458,84,SELU(),374,0.80334,0.556279,0.745098,0.41402,0.786127,0.519665,0.736842,0.405108,False,0.03882800000000001,diabetes,8,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
161570,161570,12492770,2599,False,1,1,100,3.6e-05,0.753247,0.504364,98,SELU(),399,0.815985,0.58431,0.753247,0.442128,0.809249,0.573645,0.684211,0.250646,True,0.041825333333333305,diabetes,10,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
167280,167280,12498480,2982,False,5,5,83,3.3e-05,0.74026,0.594022,96,SELU(),382,0.801115,0.551755,0.74026,0.400094,0.776012,0.48558,0.815789,0.587426,False,0.040569999999999995,diabetes,7,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
170971,170971,12502171,2694,False,2,2,95,3.6e-05,0.766234,0.550633,58,SELU(),394,0.795539,0.539377,0.766234,0.469061,0.786127,0.519024,0.75,0.430552,False,0.019536666666666685,diabetes,12,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
174165,174165,12505365,3189,False,7,7,90,3.8e-05,0.777778,0.546663,79,SELU(),389,0.786642,0.522893,0.777778,0.497807,0.778902,0.497153,0.723684,0.37018,False,0.005909333333333322,diabetes,3,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
184437,184437,12515637,2873,False,4,4,74,3.6e-05,0.746753,0.579173,92,SELU(),373,0.810409,0.573252,0.746753,0.425528,0.796243,0.537931,0.723684,0.360711,False,0.04243733333333336,diabetes,15,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
189230,189230,12520430,2574,False,1,1,75,3.9e-05,0.766234,0.526854,96,SELU(),374,0.814126,0.579823,0.766234,0.466667,0.781792,0.500524,0.644737,0.145374,False,0.03192800000000003,diabetes,1,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
193038,193038,12524238,2784,False,3,3,85,3.5e-05,0.772727,0.504215,89,SELU(),384,0.801115,0.547636,0.772727,0.488179,0.797688,0.547038,0.75,0.461263,False,0.01892533333333331,diabetes,16,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
201194,201194,12532394,2992,False,5,5,93,3.7e-05,0.74026,0.606856,46,SELU(),392,0.80855,0.565676,0.74026,0.412395,0.791907,0.525753,0.802632,0.544714,False,0.04552666666666664,diabetes,6,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
206785,206785,12537985,1761,False,1,1,62,5e-05,0.84058,0.366301,98,LeakyReLU(negative_slope=0.01),261,0.89648,0.793127,0.84058,0.676004,0.884058,0.766816,0.898551,0.806432,True,0.037266666666666705,Australian,17,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
208893,208893,12540093,3240,False,0,0,41,4.9e-05,0.905797,0.320266,23,GELU(approximate=False),440,0.89234,0.784233,0.905797,0.815499,0.89533,0.790992,0.782609,0.573124,False,0.008971333333333295,Australian,18,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
212882,212882,12544082,2424,False,0,0,25,4.6e-05,0.884058,0.373627,26,SELU(),324,0.884058,0.766363,0.884058,0.767218,0.885668,0.769889,0.84058,0.677176,False,0.0010733333333333335,Australian,2,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
218469,218469,12549669,873,False,0,0,74,4e-05,0.876812,0.387029,13,ReLU(),173,0.875776,0.748525,0.876812,0.752259,0.876006,0.749221,0.869565,0.737513,False,0.0006906666666666913,Australian,5,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
224990,224990,12556190,1889,False,2,2,90,4.7e-05,0.876812,0.315313,61,LeakyReLU(negative_slope=0.01),289,0.890269,0.779803,0.876812,0.752259,0.887279,0.772971,0.869565,0.73595,False,0.008971333333333295,Australian,0,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
232236,232236,12563436,2331,False,7,7,32,5e-05,0.876812,0.347087,30,LeakyReLU(negative_slope=0.01),231,0.89441,0.787518,0.876812,0.752886,0.888889,0.776746,0.84058,0.679088,False,0.011732000000000001,Australian,13,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
237197,237197,12568397,1476,False,6,6,77,4.4e-05,0.905797,0.289045,62,ReLU(),176,0.879917,0.756473,0.905797,0.811256,0.884058,0.765217,0.855072,0.707131,False,0.017253333333333343,Australian,14,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
243879,243879,12575079,839,False,0,0,40,5.3e-05,0.869565,0.375465,70,ReLU(),139,0.888199,0.775546,0.869565,0.734615,0.880837,0.759968,0.884058,0.765634,False,0.012422666666666618,Australian,11,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
247047,247047,12578247,1986,False,3,3,87,3.9e-05,0.876812,0.414886,8,LeakyReLU(negative_slope=0.01),286,0.879917,0.756679,0.876812,0.754893,0.874396,0.74664,0.927536,0.853497,False,0.0036806666666666654,Australian,4,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
253552,253552,12584752,2155,False,5,5,56,4.9e-05,0.855072,0.423873,51,LeakyReLU(negative_slope=0.01),255,0.89441,0.787995,0.855072,0.707131,0.885668,0.769889,0.855072,0.715381,False,0.026225333333333323,Australian,8,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
262407,262407,12593607,1675,False,0,0,76,4.8e-05,0.862319,0.390033,81,LeakyReLU(negative_slope=0.01),275,0.902691,0.803798,0.862319,0.718958,0.89372,0.784955,0.869565,0.736949,False,0.026914666666666715,Australian,10,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
263361,263361,12594561,3342,False,1,1,43,5.1e-05,0.884058,0.29973,86,GELU(approximate=False),442,0.877847,0.754755,0.884058,0.773331,0.879227,0.758083,0.855072,0.715381,False,0.004140666666666644,Australian,7,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
270629,270629,12601829,2338,False,7,7,39,5.6e-05,0.876812,0.312884,78,LeakyReLU(negative_slope=0.01),238,0.89648,0.790658,0.876812,0.749719,0.89211,0.781447,0.826087,0.648906,False,0.013112000000000013,Australian,12,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
276781,276781,12607981,2421,False,0,0,22,4.8e-05,0.862319,0.375227,27,SELU(),321,0.890269,0.778543,0.862319,0.725168,0.884058,0.76647,0.898551,0.799841,False,0.018633333333333352,Australian,3,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
280142,280142,12611342,4136,False,1,1,37,8.1e-05,0.884058,0.36494,75,Sigmoid(),536,0.884058,0.76529,0.884058,0.764956,0.882448,0.762047,0.84058,0.683286,False,0.0010733333333333335,Australian,15,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
286380,286380,12617580,1177,False,3,3,78,4.4e-05,0.891304,0.312951,50,ReLU(),177,0.879917,0.758222,0.891304,0.780105,0.882448,0.763057,0.869565,0.748105,False,0.007591333333333357,Australian,1,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
296593,296593,12627793,2967,False,5,5,68,4e-05,0.84058,0.416504,15,SELU(),367,0.890269,0.780174,0.84058,0.677614,0.879227,0.755736,0.898551,0.796283,False,0.03312599999999999,Australian,16,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
302239,302239,12633439,3837,False,6,6,38,4.1e-05,0.833333,0.493521,8,GELU(approximate=False),437,0.890269,0.777247,0.833333,0.662338,0.876006,0.748471,0.855072,0.710066,False,0.03795733333333332,Australian,6,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
303989,303989,12635189,1793,False,1,1,94,0.000122,0.945087,0.162652,99,LeakyReLU(negative_slope=0.01),293,0.956198,0.90528,0.945087,0.882335,0.953727,0.899751,0.930233,0.848013,True,0.007407333333333321,car(3),17,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
308500,308500,12639700,1599,False,7,7,100,0.00011,0.950725,0.164841,96,ReLU(),199,0.956235,0.90469,0.950725,0.893103,0.953727,0.899735,0.930233,0.843522,False,0.0036733333333332694,car(3),18,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
317288,317288,12648488,1597,False,7,7,98,0.000118,0.950725,0.181681,98,ReLU(),197,0.965318,0.92421,0.950725,0.895678,0.965938,0.926223,0.936047,0.863639,True,0.010141999999999948,car(3),2,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
320656,320656,12651856,1099,False,2,2,100,0.000115,0.953757,0.15003,96,ReLU(),199,0.959504,0.912038,0.953757,0.899636,0.96144,0.916018,0.959302,0.912621,False,0.005121999999999997,car(3),5,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
329024,329024,12660224,999,False,1,1,100,0.000117,0.945087,0.167584,94,ReLU(),199,0.966116,0.926867,0.945087,0.880493,0.959512,0.912136,0.94186,0.872798,False,0.014019333333333309,car(3),0,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
335650,335650,12666850,999,False,1,1,100,0.000113,0.933526,0.182031,94,ReLU(),199,0.961983,0.917695,0.933526,0.855533,0.955013,0.902364,0.930233,0.847636,False,0.018971333333333378,car(3),13,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
338778,338778,12669978,1196,False,3,3,97,0.00012,0.950867,0.160944,99,ReLU(),196,0.960331,0.913567,0.950867,0.89799,0.959512,0.912912,0.953488,0.899029,True,0.006309333333333352,car(3),14,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
343873,343873,12675073,2397,False,7,7,98,0.000123,0.953623,0.158448,97,LeakyReLU(negative_slope=0.01),297,0.962015,0.917638,0.953623,0.899646,0.959512,0.912887,0.906977,0.791241,False,0.005594666666666637,car(3),11,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
351191,351191,12682391,1192,False,3,3,93,0.00012,0.942197,0.180701,94,ReLU(),192,0.960331,0.914391,0.942197,0.875624,0.955656,0.90385,0.959302,0.910258,False,0.012089333333333396,car(3),4,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
356846,356846,12688046,1094,False,2,2,95,0.000119,0.93913,0.186843,99,ReLU(),194,0.962015,0.917371,0.93913,0.867218,0.959512,0.912138,0.94186,0.86912,False,0.015256666666666622,car(3),8,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
360367,360367,12691567,1596,False,7,7,97,0.000112,0.968116,0.147158,97,ReLU(),196,0.959538,0.912576,0.968116,0.930016,0.960797,0.914416,0.936047,0.859676,False,0.00571866666666665,car(3),10,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
364183,364183,12695383,1596,False,7,7,97,0.000115,0.953623,0.161191,93,ReLU(),196,0.952931,0.898217,0.953623,0.897789,0.9518,0.894595,0.965116,0.92251,False,0.001215333333333346,car(3),7,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
371994,371994,12703194,1093,False,2,2,94,0.000118,0.942197,0.171104,99,ReLU(),193,0.957025,0.906694,0.942197,0.875986,0.953085,0.898701,0.959302,0.91094,False,0.009885333333333376,car(3),12,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
377452,377452,12708652,1896,False,2,2,97,0.000116,0.939306,0.183818,99,LeakyReLU(negative_slope=0.01),296,0.952893,0.898044,0.939306,0.865984,0.95437,0.900159,0.947674,0.882207,False,0.010042666666666719,car(3),3,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
385377,385377,12716577,1299,False,4,4,100,0.000117,0.945087,0.175086,99,ReLU(),199,0.963636,0.920694,0.945087,0.884501,0.956941,0.90673,0.906977,0.801138,False,0.012366000000000025,car(3),15,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
390612,390612,12721812,1298,False,4,4,99,0.000119,0.942197,0.169331,97,ReLU(),198,0.960331,0.914511,0.942197,0.874152,0.957584,0.908555,0.947674,0.88811,False,0.012089333333333396,car(3),1,exp0090_politica_1_oracle_1m1l_nosbss,,,Local,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
