,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,2138313,2239113,16787913,3100,False,7,7,1,0.000414,0.883333,0.441373,99,SELU(),300,0.902381,0.82477,0.883333,0.791393,0.898148,0.817241,0.916667,0.852316,True,0.022251333333333328,balance-scale,5,exp0090_politica_1_oracle_1m1l,,,0.9625833391829148,topsis_pareto_oracle
0,2141431,2242231,16791031,1200,False,4,4,1,0.000464,0.9,0.607407,96,ReLU(),100,0.909524,0.83853,0.9,0.823049,0.907407,0.834992,0.916667,0.854704,True,0.010320666666666645,balance-scale,0,exp0090_politica_1_oracle_1m1l,,,0.962277062845534,topsis_pareto_oracle
0,2147286,2248086,16796886,901,False,1,1,2,0.000268,0.891667,0.616106,99,ReLU(),101,0.883333,0.787506,0.891667,0.803174,0.888889,0.797974,0.916667,0.85042,True,0.010445333333333343,balance-scale,13,exp0090_politica_1_oracle_1m1l,,,0.9490014531138702,topsis_pareto_oracle
0,2154595,2255395,16804195,2402,False,0,0,3,0.00017,0.916667,0.38664,99,SELU(),302,0.892857,0.805872,0.916667,0.850538,0.9,0.819064,0.916667,0.850893,True,0.029777333333333322,balance-scale,14,exp0090_politica_1_oracle_1m1l,,,0.9635670693248942,topsis_pareto_oracle
0,2158239,2259039,16807839,1902,False,3,3,3,0.000207,0.9,0.516421,99,LeakyReLU(negative_slope=0.01),202,0.907143,0.834278,0.9,0.821781,0.905556,0.831483,0.916667,0.852316,True,0.00833133333333332,balance-scale,11,exp0090_politica_1_oracle_1m1l,,,0.9662163147893529,topsis_pareto_oracle
0,2162359,2263159,16811959,3403,False,2,2,4,0.000223,0.9,0.393676,98,GELU(approximate=False),403,0.897619,0.815015,0.9,0.819949,0.9,0.819733,0.916667,0.850893,True,0.0032893333333333294,balance-scale,4,exp0090_politica_1_oracle_1m1l,,,0.9607576063179256,topsis_pareto_oracle
0,2168743,2269543,16818343,5401,False,6,6,2,0.000267,0.9,0.617561,98,Tanh(),601,0.904762,0.828072,0.9,0.820749,0.905556,0.829428,0.916667,0.85042,True,0.005786000000000069,balance-scale,8,exp0090_politica_1_oracle_1m1l,,,0.9487650368158216,topsis_pareto_oracle
0,2175954,2276754,16825554,100,False,1,1,1,0.000561,0.908333,0.440865,98,Identity(),0,0.928571,0.872788,0.908333,0.838451,0.924074,0.864841,0.916667,0.852884,True,0.022891333333333375,balance-scale,10,exp0090_politica_1_oracle_1m1l,,,0.9650842801855977,topsis_pareto_oracle
0,2180896,2281696,16830496,1501,False,7,7,2,0.000369,0.916667,0.426432,98,ReLU(),101,0.907143,0.833566,0.916667,0.852316,0.909259,0.837715,0.916667,0.850893,True,0.012499999999999956,balance-scale,7,exp0090_politica_1_oracle_1m1l,,,0.9657498357673517,topsis_pareto_oracle
0,2186465,2287265,16836065,3801,False,6,6,2,0.0003,0.891667,0.526489,99,GELU(approximate=False),401,0.878571,0.781633,0.891667,0.808697,0.881481,0.787586,0.916667,0.854704,True,0.01804266666666665,balance-scale,12,exp0090_politica_1_oracle_1m1l,,,0.9488274231580909,topsis_pareto_oracle
0,2193902,2294702,16843502,5001,False,2,2,2,0.000303,0.916667,0.528608,96,Tanh(),601,0.904762,0.82906,0.916667,0.851485,0.909259,0.837393,0.916667,0.852316,True,0.014950000000000019,balance-scale,3,exp0090_politica_1_oracle_1m1l,,,0.958027216726433,topsis_pareto_oracle
0,2197828,2298628,16847428,1600,False,0,0,1,0.000546,0.916667,0.530847,99,LeakyReLU(negative_slope=0.01),200,0.904762,0.830042,0.916667,0.850538,0.907407,0.834388,0.916667,0.852316,True,0.013664000000000046,balance-scale,15,exp0090_politica_1_oracle_1m1l,,,0.9476742710822614,topsis_pareto_oracle
0,2202793,2303593,16852393,2205,False,6,6,6,0.00017,0.9,0.423281,98,LeakyReLU(negative_slope=0.01),205,0.911905,0.841507,0.9,0.819378,0.909259,0.836427,0.933333,0.881917,True,0.014752666666666636,balance-scale,1,exp0090_politica_1_oracle_1m1l,,,0.9556125542146899,topsis_pareto_oracle
0,2207911,2308711,16857511,2301,False,7,7,2,0.000403,0.891667,0.427803,98,LeakyReLU(negative_slope=0.01),201,0.897619,0.818526,0.891667,0.804965,0.896296,0.815427,0.916667,0.854704,True,0.009040666666666622,balance-scale,16,exp0090_politica_1_oracle_1m1l,,,0.9508368356344341,topsis_pareto_oracle
0,2213060,2313860,16862660,3204,False,0,0,5,0.00018,0.9,0.407699,99,GELU(approximate=False),404,0.904762,0.827922,0.9,0.819037,0.901852,0.822473,0.933333,0.882407,True,0.005923333333333354,balance-scale,6,exp0090_politica_1_oracle_1m1l,,,0.9597442419180584,topsis_pareto_oracle
0,2612720,2814320,17363120,3713,False,5,5,14,0.000198,0.733333,0.997361,94,GELU(approximate=False),413,0.790476,0.777344,0.733333,0.72075,0.785185,0.772251,0.733333,0.722944,True,0.03772933333333336,libras_move,17,exp0090_politica_1_oracle_1m1l,,,0.8949459230586705,topsis_pareto_oracle
0,2620080,2821680,17370480,2607,False,2,2,8,0.000217,0.6,1.188909,99,SELU(),307,0.714286,0.700114,0.6,0.580127,0.692593,0.677307,0.666667,0.656276,True,0.07999133333333337,libras_move,18,exp0090_politica_1_oracle_1m1l,,,0.9010995241662642,topsis_pareto_oracle
0,2221664,2322464,16871264,1511,False,7,7,12,0.000203,0.6,1.287557,91,ReLU(),111,0.690476,0.676217,0.6,0.580661,0.674074,0.658167,0.733333,0.722064,True,0.06370399999999998,libras_move,2,exp0090_politica_1_oracle_1m1l,,,0.8955507838987383,topsis_pareto_oracle
0,2225288,2326088,16874888,2509,False,1,1,10,0.000186,0.7,1.113267,97,SELU(),309,0.747619,0.733721,0.7,0.685128,0.737037,0.722697,0.7,0.685128,True,0.03239533333333333,libras_move,5,exp0090_politica_1_oracle_1m1l,,,0.8847072617747295,topsis_pareto_oracle
0,2233400,2334200,16883000,4812,False,0,0,13,0.000172,0.666667,1.379139,95,Tanh(),612,0.738095,0.725566,0.666667,0.651047,0.722222,0.70778,0.733333,0.722064,True,0.04967933333333333,libras_move,0,exp0090_politica_1_oracle_1m1l,,,0.8825378758103055,topsis_pareto_oracle
0,2238795,2339595,16888395,2414,False,0,0,15,0.000147,0.733333,0.937768,99,SELU(),314,0.785714,0.773932,0.733333,0.719878,0.777778,0.765321,0.733333,0.724714,True,0.03603599999999996,libras_move,13,exp0090_politica_1_oracle_1m1l,,,0.8984528534975352,topsis_pareto_oracle
0,2244479,2345279,16894079,813,False,0,0,14,0.000221,0.716667,0.964977,99,ReLU(),113,0.809524,0.796829,0.716667,0.702306,0.788889,0.775052,0.766667,0.752693,True,0.06301533333333335,libras_move,14,exp0090_politica_1_oracle_1m1l,,,0.9117495614067213,topsis_pareto_oracle
