,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,group,policy,mcdm_tuples
161570,161570,12492770,2599,False,1,1,100,3.6e-05,0.753247,0.504364,98,SELU(),399,0.815985,0.58431,0.753247,0.442128,0.809249,0.573645,0.684211,0.250646,True,0.041825333333333305,diabetes,10,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
164284,164284,12495484,3199,False,7,7,100,3.7e-05,0.784314,0.518192,97,SELU(),399,0.80334,0.554564,0.784314,0.50636,0.790462,0.521286,0.763158,0.450836,False,0.012684000000000065,diabetes,7,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
171769,171769,12502969,2799,False,3,3,100,3.7e-05,0.75974,0.602955,87,SELU(),399,0.799257,0.545995,0.75974,0.474693,0.796243,0.550749,0.802632,0.551297,False,0.026344666666666683,diabetes,12,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
175058,175058,12506258,3199,False,7,7,100,3.8e-05,0.771242,0.528996,93,SELU(),399,0.790353,0.528106,0.771242,0.46997,0.784682,0.511981,0.697368,0.269566,False,0.012740666666666659,diabetes,3,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
181347,181347,12512547,3199,False,7,7,100,3.6e-05,0.777778,0.497179,96,SELU(),399,0.797774,0.545007,0.777778,0.487059,0.793353,0.530142,0.710526,0.324867,False,0.013330666666666676,diabetes,15,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
187152,187152,12518352,3199,False,7,7,100,3.7e-05,0.79085,0.502311,93,SELU(),399,0.808905,0.569812,0.79085,0.520948,0.786127,0.51058,0.684211,0.261882,False,0.01518533333333331,diabetes,1,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
190758,190758,12521958,2499,False,0,0,100,3.5e-05,0.785714,0.514787,77,SELU(),399,0.789963,0.523121,0.785714,0.511682,0.783237,0.507199,0.723684,0.33925,False,0.004484000000000006,diabetes,16,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
200405,200405,12531605,2499,False,0,0,100,3.6e-05,0.753247,0.581011,98,SELU(),399,0.799257,0.549269,0.753247,0.429074,0.774566,0.484193,0.763158,0.444335,False,0.03067333333333333,diabetes,6,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
205143,205143,12536343,4909,False,1,1,10,6.2e-05,0.855072,0.378514,53,Tanh(),609,0.884058,0.76529,0.855072,0.705498,0.877617,0.75201,0.913043,0.831936,False,0.01932399999999997,Australian,17,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
207254,207254,12538454,4809,False,0,0,10,6.6e-05,0.891304,0.326036,44,Tanh(),609,0.890269,0.780329,0.891304,0.786313,0.890499,0.781496,0.782609,0.573124,False,0.0006900000000000054,Australian,18,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
214829,214829,12546029,4909,False,1,1,10,7.6e-05,0.862319,0.381652,82,Tanh(),609,0.879917,0.761175,0.862319,0.727374,0.876006,0.75363,0.855072,0.707131,False,0.011732000000000001,Australian,2,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
218825,218825,12550025,5409,False,6,6,10,6e-05,0.869565,0.374918,39,Tanh(),609,0.875776,0.748874,0.869565,0.736121,0.874396,0.745652,0.884058,0.765705,False,0.004140666666666644,Australian,5,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
224077,224077,12555277,5009,False,2,2,10,7.1e-05,0.884058,0.328645,50,Tanh(),609,0.886128,0.770976,0.884058,0.766083,0.885668,0.769889,0.884058,0.765705,False,0.0013800000000000108,Australian,0,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
232811,232811,12564011,5409,False,6,6,10,7.5e-05,0.862319,0.373986,89,Tanh(),609,0.886128,0.772416,0.862319,0.725745,0.880837,0.762031,0.84058,0.683286,False,0.01587266666666672,Australian,13,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
235232,235232,12566432,5309,False,5,5,10,7e-05,0.884058,0.329839,58,Tanh(),609,0.886128,0.769382,0.884058,0.770702,0.885668,0.769263,0.855072,0.707131,False,0.0013800000000000108,Australian,14,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
245300,245300,12576500,5309,False,5,5,10,7.3e-05,0.855072,0.397219,72,Tanh(),609,0.888199,0.775384,0.855072,0.727874,0.880837,0.763076,0.898551,0.799841,False,0.022084666666666603,Australian,11,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
246452,246452,12577652,5009,False,2,2,10,6.7e-05,0.876812,0.355858,48,Tanh(),609,0.875776,0.749453,0.876812,0.749921,0.876006,0.749466,0.927536,0.853497,False,0.0006906666666666913,Australian,4,exp0090_politica_1_oracle_1m1l_nosbss,,,Global,Train,"[('train_overall_acc', 1), ('num_neurons', -1)]"
