,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
1566999,1667799,16216599,1177,False,3,3,78,4.8e-05,0.782895,0.482142,97,ReLU(),177,0.821429,0.592236,0.782895,0.499107,0.812865,0.571759,0.763158,0.457055,True,0.025689333333333304,diabetes,8,exp0090_politica_1_oracle_1m1l,,,0.6445637777302133,Train
1573445,1674245,16223045,2190,False,5,5,91,5e-05,0.776316,0.49226,95,LeakyReLU(negative_slope=0.01),290,0.827068,0.605575,0.776316,0.498664,0.815789,0.581223,0.710526,0.356923,True,0.03383466666666668,diabetes,10,exp0090_politica_1_oracle_1m1l,,,0.6037815044871454,Train
1579189,1679989,16228789,2190,False,5,5,91,4.4e-05,0.756579,0.513321,83,LeakyReLU(negative_slope=0.01),290,0.830827,0.615197,0.756579,0.431138,0.809942,0.564536,0.789474,0.51821,False,0.049498666666666656,diabetes,7,exp0090_politica_1_oracle_1m1l,,,0.5835505887920068,Train
1584690,1685490,16234290,1869,False,2,2,70,4.9e-05,0.763158,0.483281,98,LeakyReLU(negative_slope=0.01),269,0.819549,0.586211,0.763158,0.453745,0.807018,0.556617,0.75,0.422734,True,0.03759399999999998,diabetes,12,exp0090_politica_1_oracle_1m1l,,,0.6723751560812822,Train
1589855,1690655,16239455,897,False,0,0,98,4.6e-05,0.763158,0.492888,74,ReLU(),197,0.819549,0.587202,0.763158,0.457055,0.809942,0.565336,0.763158,0.457055,False,0.03759399999999998,diabetes,3,exp0090_politica_1_oracle_1m1l,,,0.5463103326839004,Train
1594523,1695323,16244123,2187,False,5,5,88,4.8e-05,0.789474,0.481846,96,LeakyReLU(negative_slope=0.01),287,0.823308,0.596008,0.789474,0.521111,0.815789,0.578967,0.736842,0.3959,True,0.02255600000000002,diabetes,15,exp0090_politica_1_oracle_1m1l,,,0.6139185306278959,Train
1600955,1701755,16250555,2297,False,6,6,98,4.8e-05,0.776316,0.544254,98,LeakyReLU(negative_slope=0.01),297,0.828947,0.60859,0.776316,0.494609,0.818713,0.585111,0.75,0.430552,True,0.035087333333333325,diabetes,1,exp0090_politica_1_oracle_1m1l,,,0.5895201261681023,Train
1604287,1705087,16253887,2388,False,7,7,89,4.9e-05,0.809211,0.493479,99,LeakyReLU(negative_slope=0.01),288,0.825188,0.601435,0.809211,0.560673,0.820175,0.589371,0.776316,0.484757,False,0.010651333333333346,diabetes,16,exp0090_politica_1_oracle_1m1l,,,0.6147761345613169,Train
1612028,1712828,16261628,2396,False,7,7,97,4.7e-05,0.769737,0.513545,75,LeakyReLU(negative_slope=0.01),296,0.817669,0.582595,0.769737,0.477716,0.807018,0.55852,0.776316,0.490925,False,0.03195466666666665,diabetes,6,exp0090_politica_1_oracle_1m1l,,,0.5538690423454067,Train
1617388,1718188,16266988,1585,False,7,7,86,5.2e-05,0.889706,0.311128,97,ReLU(),185,0.926471,0.851775,0.889706,0.780396,0.918301,0.835407,0.838235,0.673374,True,0.024510000000000032,Australian,17,exp0090_politica_1_oracle_1m1l,,,0.6201708818955907,Train
1620154,1720954,16269754,1392,False,5,5,93,5e-05,0.911765,0.310988,95,ReLU(),192,0.926471,0.851442,0.911765,0.822041,0.919935,0.83856,0.838235,0.673374,False,0.009803999999999998,Australian,18,exp0090_politica_1_oracle_1m1l,,,0.5965682686530521,Train
1628867,1729667,16278467,1487,False,6,6,88,5.3e-05,0.897059,0.301981,93,ReLU(),187,0.926471,0.851442,0.897059,0.791228,0.919935,0.838052,0.852941,0.701754,False,0.019607999999999997,Australian,2,exp0090_politica_1_oracle_1m1l,,,0.6086417903776399,Train
1633618,1734418,16283218,1382,False,5,5,83,5.3e-05,0.897059,0.369997,89,ReLU(),182,0.926471,0.851442,0.897059,0.792308,0.919935,0.838288,0.852941,0.701754,True,0.019607999999999997,Australian,5,exp0090_politica_1_oracle_1m1l,,,0.6189911650837839,Train
1640371,1741171,16289971,1577,False,7,7,78,5.2e-05,0.889706,0.345826,88,ReLU(),177,0.928571,0.85585,0.889706,0.778258,0.919935,0.83856,0.852941,0.701754,True,0.025910000000000027,Australian,0,exp0090_politica_1_oracle_1m1l,,,0.6331981564832289,Train
1646300,1747100,16295900,1295,False,4,4,96,5.2e-05,0.860294,0.329198,93,ReLU(),195,0.928571,0.85621,0.860294,0.717242,0.913399,0.825345,0.838235,0.673374,True,0.045518000000000024,Australian,13,exp0090_politica_1_oracle_1m1l,,,0.5876209192436573,Train
1651765,1752565,16301365,1697,False,0,0,98,5e-05,0.889706,0.350444,93,LeakyReLU(negative_slope=0.01),297,0.939076,0.878073,0.889706,0.776794,0.928105,0.85554,0.838235,0.673374,True,0.03291333333333335,Australian,14,exp0090_politica_1_oracle_1m1l,,,0.5829506134894813,Train
1657579,1758379,16307179,1786,False,1,1,87,5.3e-05,0.875,0.376864,96,LeakyReLU(negative_slope=0.01),286,0.934874,0.868765,0.875,0.750749,0.921569,0.842336,0.838235,0.673374,False,0.039915999999999986,Australian,11,exp0090_politica_1_oracle_1m1l,,,0.616805890771168,Train
