,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
473948,473948,12805148,614,False,6,6,15,5e-05,0.78,0.492061,58,Identity(),14,0.705714,0.228203,0.78,0.449636,0.755556,0.386146,0.79,0.460699,False,0.04952400000000005,credit-g,12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.757843257939393,oracle
476656,476656,12807856,5221,False,4,4,22,2.2e-05,0.745,0.544659,97,Tanh(),621,0.732857,0.28374,0.745,0.319176,0.738889,0.301304,0.77,0.400845,False,0.008095333333333343,credit-g,3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8652011766637151,oracle
483078,483078,12814278,2356,False,7,7,57,4.5e-05,0.765,0.49323,67,LeakyReLU(negative_slope=0.01),256,0.745714,0.354952,0.765,0.381152,0.77,0.396482,0.8,0.496924,False,0.016190666666666687,credit-g,15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6201203583633614,oracle
491247,491247,12822447,1032,False,2,2,33,2.7e-05,0.795,0.453035,92,ReLU(),132,0.735714,0.307947,0.795,0.480712,0.777778,0.425853,0.82,0.545545,False,0.03952400000000004,credit-g,1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.810009455056778,oracle
497586,497586,12828786,2312,False,7,7,13,5.7e-05,0.77,0.495919,92,LeakyReLU(negative_slope=0.01),212,0.685714,0.170547,0.77,0.420016,0.742222,0.357778,0.82,0.557193,False,0.056190666666666646,credit-g,16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7404030748651785,oracle
499719,499719,12830919,931,False,1,1,32,3.1e-05,0.75,0.490882,99,ReLU(),131,0.741429,0.338784,0.75,0.358957,0.764444,0.405148,0.79,0.458938,False,0.015343333333333339,credit-g,6,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8269764005014689,oracle
505609,505609,12836809,2968,False,5,5,69,4.9e-05,0.953704,0.149863,95,SELU(),368,0.960317,0.723723,0.953704,0.650444,0.95679,0.690855,0.981481,0.857493,False,0.004408666666666654,climate-model-simulation-crashes(4),17,exp0090_politica_1_oracle_1m1l_nosbss,,,0.672700075621317,oracle
514184,514184,12845384,1925,False,3,3,26,3.8e-05,0.916667,0.600497,1,LeakyReLU(negative_slope=0.01),225,0.891534,0.270383,0.916667,0.0,0.917695,0.230881,0.962963,0.693375,False,0.01744066666666666,climate-model-simulation-crashes(4),18,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5402351017305761,oracle
518725,518725,12849925,3081,False,6,6,82,4.8e-05,0.944444,0.157119,94,SELU(),381,0.957672,0.702372,0.944444,0.600994,0.954733,0.678211,0.981481,0.885438,False,0.008818666666666678,climate-model-simulation-crashes(4),2,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6280357748747082,oracle
524591,524591,12855791,3056,False,6,6,57,4.9e-05,0.962963,0.136105,95,SELU(),356,0.949735,0.633215,0.962963,0.737068,0.954733,0.67346,0.981481,0.857493,False,0.008818666666666678,climate-model-simulation-crashes(4),5,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7180241587396505,oracle
530924,530924,12862124,3175,False,7,7,76,4.6e-05,0.935185,0.178221,95,SELU(),375,0.957672,0.70095,0.935185,0.47305,0.954733,0.67346,0.962963,0.693375,False,0.014991333333333282,climate-model-simulation-crashes(4),0,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6483109329543473,oracle
532693,532693,12863893,3127,False,7,7,28,5.7e-05,0.925926,0.207767,95,SELU(),327,0.920635,0.2892,0.925926,0.32063,0.923868,0.331497,0.981481,0.857493,False,0.0035273333333333636,climate-model-simulation-crashes(4),13,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7455125418670494,oracle
541134,541134,12872334,2672,False,2,2,73,4.7e-05,0.935185,0.184844,86,SELU(),372,0.94709,0.594554,0.935185,0.564645,0.94856,0.621206,1.0,1.0,False,0.00891666666666661,climate-model-simulation-crashes(4),14,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6448303894817885,oracle
548161,548161,12879361,2908,False,5,5,9,4.3e-05,0.925926,0.569835,2,SELU(),308,0.883598,0.100428,0.925926,0.32063,0.911523,0.147204,0.962963,0.73,False,0.028218666666666687,climate-model-simulation-crashes(4),11,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5719238805694203,oracle
551967,551967,12883167,2946,False,5,5,47,5.5e-05,0.935185,0.212771,98,SELU(),346,0.944444,0.586666,0.935185,0.47305,0.942387,0.562985,1.0,1.0,True,0.006172666666666604,climate-model-simulation-crashes(4),4,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7617830408249456,oracle
558739,558739,12889939,629,False,6,6,30,6e-05,0.953704,0.153336,94,Identity(),29,0.925926,0.403965,0.953704,0.597614,0.934156,0.471263,0.962963,0.693375,False,0.018518666666666645,climate-model-simulation-crashes(4),8,exp0090_politica_1_oracle_1m1l_nosbss,,,0.8356171006809385,oracle
564503,564503,12895703,3064,False,6,6,65,4.9e-05,0.944444,0.193529,96,SELU(),364,0.973545,0.822758,0.944444,0.636364,0.969136,0.792452,0.981481,0.857493,True,0.019400666666666695,climate-model-simulation-crashes(4),10,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6894987496227035,oracle
570055,570055,12901255,2670,False,2,2,71,4.8e-05,0.972222,0.138793,91,SELU(),370,0.94709,0.615161,0.972222,0.8044,0.958848,0.709638,0.981481,0.857493,False,0.016754666666666695,climate-model-simulation-crashes(4),7,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6601933265035567,oracle
574412,574412,12905612,2490,False,0,0,91,4.5e-05,0.944444,0.159483,89,SELU(),390,0.949735,0.619746,0.944444,0.613941,0.954733,0.67346,0.981481,0.857493,False,0.006859333333333402,climate-model-simulation-crashes(4),12,exp0090_politica_1_oracle_1m1l_nosbss,,,0.5938192037222904,oracle
581677,581677,12912877,2977,False,5,5,78,4.9e-05,0.935185,0.233005,90,SELU(),377,0.968254,0.783799,0.935185,0.511891,0.960905,0.726301,1.0,1.0,True,0.022045999999999937,climate-model-simulation-crashes(4),3,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6362338997111038,oracle
587366,587366,12918566,2567,False,1,1,68,4.8e-05,0.935185,0.163962,98,SELU(),367,0.965608,0.757464,0.935185,0.631738,0.95679,0.707471,0.962963,0.693375,False,0.020281999999999984,climate-model-simulation-crashes(4),15,exp0090_politica_1_oracle_1m1l_nosbss,,,0.6803174933512774,oracle
588419,588419,12919619,2443,False,0,0,44,5.2e-05,0.944444,0.176904,98,SELU(),343,0.941799,0.544231,0.944444,0.613941,0.944444,0.580257,0.962963,0.693375,True,0.001763333333333265,climate-model-simulation-crashes(4),1,exp0090_politica_1_oracle_1m1l_nosbss,,,0.7752954202183254,oracle
594883,594883,12926083,2451,False,0,0,52,5.1e-05,0.962963,0.13995,99,SELU(),351,0.957672,0.70095,0.962963,0.73074,0.958848,0.707259,0.981481,0.857493,False,0.0035273333333333636,climate-model-simulation-crashes(4),16,exp0090_politica_1_oracle_1m1l_nosbss,,,0.742246123832663,oracle
